"","mos_ethnicity","complainant_ethnicity"
"1073","Black","Hispanic"
"1074","White","White"
"1075","White","White"
"1076","White","White"
"1077","White","White"
"1078","White","Hispanic"
"1079","White","Hispanic"
"1080","White","Hispanic"
"1081","White","Hispanic"
"1082","White","Hispanic"
"1083","White","Hispanic"
"1084","White","Hispanic"
"1085","White","Unknown"
"1086","White","Unknown"
"1087","White","Unknown"
"1088","White","Black"
"1089","White","Black"
"1090","White","Black"
"1091","White","Black"
"1092","Black","Black"
"1093","Black","Black"
"1094","Black","Black"
"1095","Black","Black"
"1096","Black","Unknown"
"1097","Black","Hispanic"
"1098","Black","Hispanic"
"1099","Black","Black"
"1100","White","Hispanic"
"1101","White","Hispanic"
"1102","White","Hispanic"
"1103","White","Black"
"1104","Hispanic","Black"
"1105","Hispanic","Black"
"1106","Black","Black"
"1107","Black","Black"
"1108","Black","Black"
"1109","Black","Black"
"1110","Black","Black"
"1111","Black","Black"
"1112","Black",NA
"1113","Black","Black"
"1114","Hispanic","Black"
"1115","Hispanic","Black"
"1116","Hispanic","White"
"1117","Hispanic","White"
"1118","Hispanic","Black"
"1119","Hispanic","Black"
"1120","Hispanic","Black"
"1121","Hispanic","Black"
"1122","Hispanic","Black"
"1123","Hispanic","Black"
"1124","Hispanic","Black"
"1125","Black","Black"
"1126","Black","Black"
"1127","Black","Black"
"1128","Black","Black"
"1129","Black","Black"
"1130","White","Asian"
"1131","White","Black"
"1132","White","Black"
"1133","White","Black"
"1134","White","Black"
"1135","White","Black"
"1136","White","Black"
"1137","White","Black"
"1138","White","Black"
"1139","White","Black"
"1140","White","Black"
"1141","White","Black"
"1142","White","Black"
"1143","White","Black"
"1144","White","Black"
"1145","White","Black"
"1146","White","Hispanic"
"1147","White","White"
"1148","White","White"
"1149","Asian","Refused"
"1150","Asian","Refused"
"1151","Asian","Refused"
"1152","Asian","Black"
"1153","Asian","Black"
"1154","Asian","White"
"1155","Asian","White"
"1156","Asian","White"
"1157","Asian","White"
"1158","White","Unknown"
"1159","Hispanic","Hispanic"
"1160","Hispanic","Hispanic"
"1161","Hispanic","Hispanic"
"1162","Hispanic","Hispanic"
"1163","Hispanic","Hispanic"
"1164","Hispanic","White"
"1165","Hispanic","White"
"1166","Black","Black"
"1167","Black","Black"
"1168","Hispanic","Other Race"
"1169","Hispanic","Other Race"
"1170","Hispanic","Other Race"
"1171","Hispanic","Other Race"
"1172","White","Black"
"1173","White","Black"
"1174","White","Black"
"1175","White","Black"
"1176","White","Black"
"1177","White","Black"
"1178","White","Black"
"1179","White",NA
"1180","White","Black"
"1181","White","Black"
"1182","White","Black"
"1183","White","Black"
"1184","White","Black"
"1185","White","Black"
"1186","White",NA
"1187","White","Black"
"1188","White","Black"
"1189","White","Hispanic"
"1190","White","Hispanic"
"1191","White","Hispanic"
"1192","White","Hispanic"
"1193","White","Hispanic"
"1194","White",NA
"1195","White","Black"
"1196","White","Black"
"1197","White","Hispanic"
"1198","White","Hispanic"
"1199","White","Hispanic"
"1200","White","Hispanic"
"1201","White","Black"
"1202","White","Black"
"1203","White","Unknown"
"1204","White","Hispanic"
"1205","White","Hispanic"
"1206","White","Hispanic"
"1207","White","Hispanic"
"1208","White","Hispanic"
"1209","White","Hispanic"
"1210","White","Hispanic"
"1211","White","Unknown"
"1212","White","Hispanic"
"1213","White","Black"
"1214","White",NA
"1215","White","Hispanic"
"1216","Hispanic","White"
"1217","Hispanic","White"
"1218","Hispanic","White"
"1219","Hispanic","White"
